Data Rate (kbps),Data Rate (kbps)2,Data Rate (kbps)3,Packet Interval (ms),Packet Interval (ms)2,Packet Interval (ms)3,Packet Length (bytes),Packet Length (bytes)2,Packet Length (bytes)3
3180.35,2931.36,1777.36,0,0,0,1514,1514,1514
771.848,3583.83,1500.7,0.842,0.589,0.313,1514,1514,1366
2374.05,3708.13,1633.77,0.187,0.177,29.789,1514,1514,1514
1698.62,2247.63,1689.87,0.195,0.176,0.31,1514,1514,1514
2906.61,2935.34,1615.88,0.168,0.2,0.176,1514,1514,511
2910.18,3454.86,1766.84,0.164,0.163,3.985,1514,1514,985
2069.55,1718.61,1808.33,0.501,0.175,40.271,1514,1514,1514
2487.71,3096.61,1523.57,0.076,0.187,0.436,820,1514,1514
3187.83,3732.32,1792.88,4.271,0.192,0.35,1078,1514,1514
3021.3,2321.04,1695.58,27.182,0.229,0.43,1514,584,1228
3121.62,3481.27,1824.28,0.848,6.717,23.872,1514,78,985
2466.16,3328.13,1634.68,0.192,0.188,5.15,1514,79,1514
3120.27,2265.14,1779.26,0.132,25.33,0.249,1514,1514,617
3013.12,3418.57,1813.38,0.134,0.53,60.512,1514,1514,1514
3111.12,3030.83,1662.04,0.759,0.2,0.261,1514,1514,985
2807.27,1769.47,1763.53,0.156,0.168,0.371,1514,1514,1514
1811.94,2936.72,1777.81,0.119,0.168,0.456,1106,1514,1514
2677.62,3305.5,1773.5,25.365,0.196,0.619,114,1514,1514
1580.67,3013.15,1655.86,5.4,0.166,0.379,1514,1514,1514
992.88,3607.6,1781.66,1.455,0.179,0.297,1514,1514,221
1293.29,2992.23,1850.03,0.173,0.185,26.731,1514,1514,1514
1135.4,3108.71,1573.43,0.172,0.076,0.385,1514,605,1514
2785.78,4099.35,1846.15,0.189,0.094,0.429,1514,514,1514
3168.54,2592.63,1735.29,0.168,29.151,0.482,1514,1078,75
3034.18,2631.92,1662.42,0.179,4.998,28.826,1514,1514,1514
3091.46,3523.86,1798.51,0.186,0.052,0.449,1514,1514,1514
2552.29,3689.23,1798.75,0.042,0.035,0.315,294,1514,561
3213.55,2023.9,1802.69,1.811,0.032,4.089,76,1514,985
2821.97,2912.92,1639.63,14.13,0.033,40.185,463,1514,1514
3147.81,3234.73,1797.3,15.003,0.034,0.735,1514,1514,1514
2974.06,2017.3,1826.99,0.541,0.028,0.165,1514,1514,1514
2204.42,2799.18,1714.47,0.179,0.029,0.333,1514,1514,1514
2784.82,3538.3,1632.91,0.183,0.029,0.38,1514,1514,294
2159.46,1646.47,1813.2,0.181,0.028,23.487,1514,564,985
2771.31,2165.05,1772.41,0.189,29.753,5.163,1514,1514,1514
2651.44,1472.9,1612.48,0.54,0.612,0.284,1514,1514,525
2361.63,1219.21,1676.6,0.172,0.418,59.786,1514,1514,985
2792.85,1247.2,1817.14,0.085,0.047,15.199,726,1514,1514
3317.66,1405.34,1663.74,31.556,0.069,3.742,1514,1514,1514
2794.25,2689.18,1838.02,1.25,0.202,0.993,1514,1514,1514
3182.96,2631.36,1709.15,0.313,0.219,0.379,1514,1514,1514
2944.03,3190.31,1666.91,0.141,0.393,0.352,1514,1514,1514
2432.07,1574.12,1747.8,0.138,0.042,0.522,1514,1514,1514
3073.4,3247.42,1744.31,0.71,0.031,0.469,1514,298,1514
3128.53,3195.45,1605.61,0.151,12.656,0.558,1514,78,1514
2983.94,1931.34,1856.92,0.173,18.441,0.397,1514,1514,1514
3052.88,2924.02,1753.23,0.095,1.059,0.521,934,1514,1514
2648.62,3181.78,1748.91,9.901,0.176,0.389,1078,1514,1514
2989.92,1675.64,1659.74,20.413,0.259,1.007,1514,1514,1514
3137.34,2889.6,1798.1,0.713,0.099,0.122,1514,1514,1514
2635.68,2095.61,1769.08,0.161,0.176,0.444,1514,1514,1514
2948.75,3105.75,1631.86,0.175,0.087,0.143,1514,481,1514
3063.93,3440.27,1754.72,0.386,0.375,0.53,1514,650,1514
3127.66,2443.52,1807.48,0.354,30.406,0.674,1514,1514,1514
2712.58,2647.4,1625.64,0.17,0.529,1.007,1514,1514,1514
2906.56,3322.48,1768.34,0.241,0.221,0.38,1514,1514,1514
2110.33,2992.99,1814.3,0.091,0.158,0.52,553,1514,983
2098.68,2849.9,1683.93,16.43,0.159,1.728,394,1514,1514
